Tipo;Produto ascendente;Publicado;Em estoque?;Estoque;São permitidas encomendas?;Vendido individualmente?;Preço;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2
variation;10129;-1;1;1;0;0;459,99;Cor;MARROM;;1;Tamanho;G;;1
variation;10129;-1;1;1;0;0;459,99;Cor;MARROM;;1;Tamanho;M;;1
variation;10129;-1;1;1;0;0;459,99;Cor;MARROM;;1;Tamanho;P;;1
variation;10129;-1;1;1;0;0;459,99;Cor;MARROM;;1;Tamanho;PP;;1
variation;10129;-1;1;1;0;0;459,99;Cor;PRETO;;1;Tamanho;G;;1
variation;10129;-1;1;1;0;0;459,99;Cor;PRETO;;1;Tamanho;M;;1
variation;10129;-1;1;1;0;0;459,99;Cor;PRETO;;1;Tamanho;P;;1
variation;10129;-1;1;1;0;0;459,99;Cor;PRETO;;1;Tamanho;PP;;1
variation;10129;-1;1;1;0;0;459,99;Cor;VERDE;;1;Tamanho;G;;1
variation;10129;-1;1;1;0;0;459,99;Cor;VERDE;;1;Tamanho;M;;1
variation;10129;-1;1;1;0;0;459,99;Cor;VERDE;;1;Tamanho;P;;1
variation;10129;-1;1;1;0;0;459,99;Cor;VERDE;;1;Tamanho;PP;;1
variation;10126;-1;1;1;0;0;269,99;Cor;PRETO;;1;Tamanho;G;;1
variation;10126;-1;1;1;0;0;269,99;Cor;PRETO;;1;Tamanho;GG;;1
variation;10126;-1;1;1;0;0;269,99;Cor;PRETO;;1;Tamanho;M;;1
variation;10126;-1;1;1;0;0;269,99;Cor;PRETO;;1;Tamanho;P;;1
variation;10126;-1;1;1;0;0;269,99;Cor;PRETO;;1;Tamanho;PP;;1
variation;10126;-1;1;1;0;0;269,99;Cor;VERDE;;1;Tamanho;G;;1
variation;10126;-1;1;1;0;0;269,99;Cor;VERDE;;1;Tamanho;GG;;1
variation;10126;-1;1;1;0;0;269,99;Cor;VERDE;;1;Tamanho;M;;1
variation;10126;-1;1;1;0;0;269,99;Cor;VERDE;;1;Tamanho;P;;1
