ID;Tipo;SKU;Nome;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Produto ascendente;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
5521;variable;10128;Bermuda Casual;-1;Bermuda larguinha com fechamento  frontal de ziper e gancho,  bolso faca frontal e bolso trazeiro alfaitaria, barra italiana.;1;;;0;0;428;32;21;12;0;299,99;Bermuda, Bermuda > Bermuda Curta;;Cor;LILAS, PRETO, VERDE;1;1;Tamanho;G, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano;1;0
5544;variable;10127;Blazer Casual;-1;Blazer curtinho de manga longa, com forro de cetim, fechamento frontal com gancho.;1;;;0;0;517;32;21;12;0;489,99;Blazer, Blazer > Blazer Manga Longa;;Cor;PRETO, VERDE;1;1;Tamanho;G, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano          Forro: 96% Poliéster 4% Elastano;1;0
5236;variable;10141;Blusa Livia;-1;Blusa de alcinha com duas camadas de tecido, alcinha com regulador de metal dourado, detalhe do decote em tecido acetinado.;1;;;0;0;208;32;21;12;0;199,99;Blusa, Blusa > Blusa de Alcinha;;Cor;PRETO, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido 1: 100% Poliéster.          Tecido 2: 100% Poliéster;1;0
5564;variable;10125;Calça Casual;-1;Calça longa slim com cós clochard, fechamento frontal  com zíper e gancho alfaiataria, abertura na barra com fechamento em botão.;1;;;0;0;415;32;21;12;0;359,99;Calça, Calça > Calça Slim;;Cor;LILAS, PRETO, VERDE;1;1;Tamanho;G, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano ;1;0
5587;variable;10140;Casaqueto Camila;-1;Blazer curtinho de manga curta dobradinha, forrado com cetim, fechamento frontal com botão.;1;;;0;0;435;32;21;12;0;359,99;Blazer, Blazer > Blazer Curto;;Cor;PRETO, VERDE;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano          Forro: 96% Poliéster 4% Elastano;1;0
5269;variable;10138;Saia Ana Laura;-1;Saia longa com recortes franzidos, fechamento frontal com botões.;1;;;0;0;644;32;21;12;0;419,99;Saia, Saia > Saia Longa;;Cor;LARANJA, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 70% Viscose 30% Linho ;1;0
5290;variable;10142;Saia Livia;-1;Saia longa com recortes intercalando dois tecidos, um é crepe leve e o outro acetinado.  Saia forrada com o tecido acetinado e fechamento trazeiro com zíper invisível.;1;;;0;0;485;32;21;12;0;459,99;Saia, Saia > Saia Longa;;Cor;PRETO, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido 1: 100% Poliéster.          Tecido 2: 100% Poliéster;1;0
5321;variable;0115;Top Ana Laura;-1;Top curto de alcinha fina com regulador de metal dourado, detalhe do decote em V, fechamento traseiro com ziper de nylon destacável .;1;;;0;0;195;32;21;12;0;169,99;Blusa > Top, Blusa > Top > Top de Alcinha;;Cor;LARANJA, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 70% Viscose 30% Linho ;1;0
5212;variable;10130;Vestido Natalia Curto;-1;Vestido curto de manga bufante com detalhe em renda aplicada na manga e na barra. acabamento da manga com elástico, fechamento trazeiro em zíper invisível, corpo forrado com o próprio tecido e forro até a coxa.;1;;;0;0;451;32;21;12;0;489,99;Vestido > Vestido Curto;;Cor;AZUL TURQUESA, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 55% Viscose 45% Poliéster;1;0
5384;variable;10131;Vestido Natalia Mid;-1;Vestido mid de manga bufante com detalhe em renda aplicada na manga e na barra. acabamento da manga com elástico, fechamento trazeiro em zíper invisível, corpo forrado com o próprio tecido e forro até a coxa.;1;;;0;0;530;32;21;12;0;589,99;Vestido > Mid, Vestido;;Cor;AZUL MARINHO, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 55% Viscose 45% Poliéster;1;0
