ID;Produto ascendente;Tipo;SKU;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
5535;10128;variation;10128-L-G;-1;;1;1;;0;0;;;;;0;299,99;;Cor;LILAS;;1;Tamanho;G;;1;;;;
5534;10128;variation;10128-L-M;-1;;1;1;;0;0;;;;;0;299,99;;Cor;LILAS;;1;Tamanho;M;;1;;;;
5533;10128;variation;10128-L-P;-1;;1;1;;0;0;;;;;0;299,99;;Cor;LILAS;;1;Tamanho;P;;1;;;;
5532;10128;variation;10128-L-PP;-1;;1;1;;0;0;;;;;0;299,99;;Cor;LILAS;;1;Tamanho;PP;;1;;;;
5539;10128;variation;10128-P-G;-1;;1;1;;0;0;;;;;0;299,99;;Cor;PRETO;;1;Tamanho;G;;1;;;;
5538;10128;variation;10128-P-M;-1;;1;1;;0;0;;;;;0;299,99;;Cor;PRETO;;1;Tamanho;M;;1;;;;
5537;10128;variation;10128-P-P;-1;;1;1;;0;0;;;;;0;299,99;;Cor;PRETO;;1;Tamanho;P;;1;;;;
5536;10128;variation;10128-P-PP;-1;;1;1;;0;0;;;;;0;299,99;;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5543;10128;variation;10128-V-G;-1;;1;1;;0;0;;;;;0;299,99;;Cor;VERDE;;1;Tamanho;G;;1;;;;
5542;10128;variation;10128-V-M;-1;;1;1;;0;0;;;;;0;299,99;;Cor;VERDE;;1;Tamanho;M;;1;;;;
5541;10128;variation;10128-V-P;-1;;1;1;;0;0;;;;;0;299,99;;Cor;VERDE;;1;Tamanho;P;;1;;;;
5540;10128;variation;10128-V-PP;-1;;1;1;;0;0;;;;;0;299,99;;Cor;VERDE;;1;Tamanho;PP;;1;;;;
5559;10127;variation;10127-P-G;-1;;1;1;;0;0;;;;;0;489,99;;Cor;PRETO;;1;Tamanho;G;;1;;;;
5558;10127;variation;10127-P-M;-1;;1;1;;0;0;;;;;0;489,99;;Cor;PRETO;;1;Tamanho;M;;1;;;;
5557;10127;variation;10127-P-P;-1;;1;1;;0;0;;;;;0;489,99;;Cor;PRETO;;1;Tamanho;P;;1;;;;
5556;10127;variation;10127-P-PP;-1;;1;1;;0;0;;;;;0;489,99;;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5563;10127;variation;10127-V-G;-1;;1;1;;0;0;;;;;0;489,99;;Cor;VERDE;;1;Tamanho;G;;1;;;;
5562;10127;variation;10127-V-M;-1;;1;1;;0;0;;;;;0;489,99;;Cor;VERDE;;1;Tamanho;M;;1;;;;
5561;10127;variation;10127-V-P;-1;;1;1;;0;0;;;;;0;489,99;;Cor;VERDE;;1;Tamanho;P;;1;;;;
5560;10127;variation;10127-V-PP;-1;;1;1;;0;0;;;;;0;489,99;;Cor;VERDE;;1;Tamanho;PP;;1;;;;
5251;10141;variation;10141-P-G;-1;;1;1;;0;0;;;;;0;199,99;;Cor;PRETO;;1;Tamanho;G;;1;;;;
5252;10141;variation;10141-P-GG;-1;;1;1;;0;0;;;;;0;199,99;;Cor;PRETO;;1;Tamanho;GG;;1;;;;
5250;10141;variation;10141-P-M;-1;;1;1;;0;0;;;;;0;199,99;;Cor;PRETO;;1;Tamanho;M;;1;;;;
5249;10141;variation;10141-P-P;-1;;1;1;;0;0;;;;;0;199,99;;Cor;PRETO;;1;Tamanho;P;;1;;;;
5248;10141;variation;10141-P-PP;-1;;1;1;;0;0;;;;;0;199,99;;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5256;10141;variation;10141-R-G;-1;;1;1;;0;0;;;;;0;199,99;;Cor;ROSA;;1;Tamanho;G;;1;;;;
5257;10141;variation;10141-R-GG;-1;;1;1;;0;0;;;;;0;199,99;;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5255;10141;variation;10141-R-M;-1;;1;1;;0;0;;;;;0;199,99;;Cor;ROSA;;1;Tamanho;M;;1;;;;
5254;10141;variation;10141-R-P;-1;;1;1;;0;0;;;;;0;199,99;;Cor;ROSA;;1;Tamanho;P;;1;;;;
5253;10141;variation;10141-R-PP;-1;;1;1;;0;0;;;;;0;199,99;;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5578;10125;variation;10125-L-G;-1;;1;1;;0;0;;;;;0;359,99;;Cor;LILAS;;1;Tamanho;G;;1;;;;
5577;10125;variation;10125-L-M;-1;;1;1;;0;0;;;;;0;359,99;;Cor;LILAS;;1;Tamanho;M;;1;;;;
5576;10125;variation;10125-L-P;-1;;1;1;;0;0;;;;;0;359,99;;Cor;LILAS;;1;Tamanho;P;;1;;;;
5575;10125;variation;10125-L-PP;-1;;1;1;;0;0;;;;;0;359,99;;Cor;LILAS;;1;Tamanho;PP;;1;;;;
5582;10125;variation;10125-P-G;-1;;1;1;;0;0;;;;;0;359,99;;Cor;PRETO;;1;Tamanho;G;;1;;;;
5581;10125;variation;10125-P-M;-1;;1;1;;0;0;;;;;0;359,99;;Cor;PRETO;;1;Tamanho;M;;1;;;;
