Tipo;SKU;Nome;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Imagens;Produto ascendente;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
variable;10193;BLAZER JADE;-1;<ul><li>MAXI BLAZER FORRADO E ENTRETELADO</li><li>MANGA 3/4 COM DETALHE FRANZIDO </li><li>BOLSO FRONTAL FALSO COM LAPELA</li><li>FORRO EMBUTIDO DE CETIM</li></ul>;1;;;0;0;0,656;32;21;12;0;;BLAZER>BLAZER MANGA 3/4;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlazerJade-Off_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlazerJade-Off_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlazerJade-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlazerJade-Preto_02.jpg;;Cor;OFF, PRETO;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10207;BLAZER TALITA;-1;<ul><li>BLAZER CURTO FORRADO E ENTRETELADO</li><li>MANGA LONGA COM FECHAMENTO COM BOTÃO DE METAL DOURADO PARA COR PRETA E BOTÃO DE METAL DE STRASS PRATA PARA COR VERDE</li><li>FECHAMENTO FRONTAL COM  BOTÃO DE METAL DOURADO PARA COR PRETA E BOTÃO DE METAL DE STRASS PRATA PARA COR VERDE</li><li>BOLSO FRONTAL  COM LAPELA</li><li>FORRO DE CETIM</li></ul>;1;;;0;0;0,556;32;21;12;0;;BLAZER>BLAZER MANGA LONGA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlazerTalita-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlazerTalita-Preto_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlazerTalita-Preto_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlazerTalita-Verde_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlazerTalita-Verde_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlazerTalita-Verde_03.jpg;;Cor;PRETO, VERDE;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10228;BLUSA AMANDA LADY;-1;<ul><li>BLUSA OMBRO A OMBBRO</li><li>MANGA CURTA</li><li>ELÁSTICO APLICADO NO DECOTE, MANGA E CINTURA</li></ul>;1;;;0;0;0,245;32;21;12;0;;BLUSA>BLUSA MANGA CURTA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaAmandaLady-Verde_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaAmandaLady-Verde_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaAmandaLady-Off_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaAmandaLady-Off_02.jpg;;Cor;VERDE, OFF;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10230;BLUSA AMANDA GLOSS SPAN;-1;<ul><li>BLUSA OMBRO A OMBBRO</li><li>MANGA CURTA</li><li>ELÁSTICO APLICADO NO DECOTE, MANGA E CINTURA</li></ul>;1;;;0;0;0,245;32;21;12;0;;BLUSA>BLUSA MANGA CURTA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaAmandaGlossSpan-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaAmandaGlossSpan-Preto_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaAmandaGlossSpan-Pink_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaAmandaGlossSpan-Pink_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaAmandaGlossSpan-Pink_03.jpg;;Cor;PRETO, PINK;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10186;BLUSA ERIKA;-1;<ul>BLUSA BÁSICA</li><li>MANGA CURTA</li><li>TECIDO COM LEVE BRILHO</li></li></ul>;1;;;0;0;0,245;32;21;12;0;;BLUSA>BLUSA MANGA CURTA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaErika-Off_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaErika-Off_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaErika-Off_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaErika-Off_04.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaErika-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaErika-Preto_02.jpg;;Cor;OFF, PRETO;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10192;BLUSA GABRIELA;-1;<ul><li>TOP DUPLO, ENTRETELADO E EMBUTIDO</li><li>COM DECOTE EM GOTA</li><li>RECORTE LATERAL</li><li>FECHAMENTO TRAZEIRO COM ZÍPER DESTACÁVEL DE NYLON</li></ul>;1;;;0;0;0,325;32;21;12;0;;BLUSA>TOP;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGabriela-Verde_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGabriela-Verde_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGabriela-Verde_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGabriela-Off_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGabriela-Off_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGabriela-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGabriela-Preto_02.jpg;;Cor;VERDE, OFF, PRETO;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10229;BLUSA GIOVANA LADY;-1;<ul>BLUSA BÁSICA</li><li>MANGA CURTA</li><li>ELÁSTICO APLICADO NA CINTURA</li><li>TECIDO COM LEVE BRILHO</li></li></ul>;1;;;0;0;0,245;32;21;12;0;;BLUSA>BLUSA MANGA CURTA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGiovanaLady-Verde_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGiovanaLady-Verde_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGiovanaLady-Verde_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaGiovanaLady-Verde_04.jpg;;Cor;VERDE;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10214;BLUSA LAIS;-1;;1;;;0;0;0,495;32;21;12;0;;BLUSA>BLUSA MANGA LONGA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaLais-Dourado_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaLais-Dourado_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaLais-Dourado_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/BlusaLais-Dourado_04.jpg;;Cor;DOURADO;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10189;CALÇA GABRIELA;-1;<ul>-CALÇA SLIM COM FECHAMENTO FRONTAL COM ZÍPER DE NYLON E BOTÃO DE METAL</li><li>BOLSO FACA FRONTAL COM DETALHE E BOTÕES DE METAL</li><li>BOLSO TRAZEIRO CHAPADO</li><li>PUNHO NA BARRA COM BOTÃO</li><li>ABERTURA LATERAL NA BARRA</li></li></ul>;1;;;0;0;0,479;32;21;12;0;;CALÇA>CALÇA SLIM;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaGabriela-Cinza_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaGabriela-Cinza_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaGabriela-Verde_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaGabriela-Verde_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaGabriela-Verde_03.jpg;;Cor;CINZA, VERDE;1;1;Tamanho;34,36,38,40,42,44;1;1;;;;
variable;10217;CALÇA ISABELA;-1;<ul><li>CALÇA LONGA PANTALONA</li><li>ABERTURA NA LATERAL DA PERNA </li><li>DETALHE DE VIVO BRANCO NA ABERTURA DA PERNA</li></ul>;1;;;0;0;0,475;32;21;12;0;;CALÇA>CALÇA PANTALONA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaIsabela-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaIsabela-Preto_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaIsabela-Preto_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaIsabela-Preto_04.jpg;;Cor;PRETO;1;1;Tamanho;34,36,38,40,42,44;1;1;;;;
variable;10188;CALÇA JADE;-1;<ul><li>CALÇA PANTALONA COM FECHAMENTO FRONTA COM ZÍPER E GANCHO</li><li>CÓS COM TRANSPASSE</li><li>BOLSO FACA FRONTAL</li></ul>;1;;;0;0;0,523;32;21;12;0;;CALÇA>CALÇA PANTALONA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaJade-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaJade-Preto_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaJade-Preto_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaJade-Verde_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaJade-Verde_02.jpg;;Cor;PRETO, VERDE;1;1;Tamanho;34,36,38,40,42,44;1;1;;;;
variable;10212;CALÇA KAUANY;-1;<ul><li>CALÇA SLIM COM FECHAMENTO FRONTAL COM ZÍPER DE NYLON E BOTÃO PEROLADO TINGIDO NA COR DO TECIDO</li><li>CALÇA FORRADA COM TRICOLINE</li><li>BOLSO FACA FRONTAL </li><li>BOLSO TRAZEIRO COM LAPELA</li><li>PUNHO NA BARRA COM BOTÃO</li><li>ABERTURA LATERAL NA BARRA</li></li></ul>;1;;;0;0;0,745;32;21;12;0;;CALÇA>CALÇA SLIM;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaKauany-Vermelho_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaKauany-Vermelho_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaKauany-AzulTurquesa_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaKauany-AzulTurquesa_02.jpg;;Cor;VERMELHO, AZUL TURQUESA;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10215;CALÇA LAIS;-1;;1;;;0;0;0,495;32;21;12;0;;CALÇA>CALÇA JOGGER;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaLais-Dourado_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaLais-Dourado_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaLais-Dourado_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaLais-Dourado_04.jpg;;Cor;DOURADO;1;1;Tamanho;PP,P,M;1;1;;;;
variable;10194;CALÇA VANESSA NEW;-1;<ul><li>CALÇA SLIM COM CÓS CLOCHARD E COM ELÁSTICO</li><li>FECHAMENTO FRONTAL COM ZÍPER E GANCHO</li><li>BOLSO FRONTAL CHAPADO</li>-BOLSO TRASEIRO CHAPADO</li><li>ACOMPANHA FAIXA PARA AMARAÇÃO NO CÓS</li></ul>;1;;;0;0;0,517;32;21;12;0;;CALÇA>CALÇA SLIM;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-Off_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-Off_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-Fucsia_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-Fucsia_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-AzulTurquesa_01.jpg;;Cor;OFF, PRETO, FUCSIA, AZUL TURQUESA;1;1;Tamanho;34,36,38,40,42,44;1;1;;;;
variable;10185;CAMISA ERIKA;-1;<ul>CAMISA MANGA LONGA</li><li>FECHAMENTO FRONTAL EM BOTÕES</li><li>BOLSO FRONTAL COM LAPELA</li></ul>;1;;;0;0;0,353;32;21;12;0;;BLUSA>BLUSA MANGA LONGA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaErika-Off_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaErika-Off_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaErika-Off_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaErika-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaErika-Preto_02.jpg;;Cor;OFF, PRETO;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
