id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
4103-BE-GG_54983,"Blusa Amanda","Cor: BEGE, Tamanho: GG",https://paolagiacomelli.com.br/wp-content/uploads/2021/04/Blusa-Amanda-Bege-2_size.jpg,https://paolagiacomelli.com.br/produto/blusa-amanda/?attribute_pa_cor=bege&attribute_pa_tamanho=gg,"Blusa, Blusa Manga Curta","Paola Giacomelli",159.99BRL,in stock,4103_4042,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/04/Blusa-Amanda-Off-2_size.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/04/Blusa-Amanda-Preta-1_size.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,159.99BRL,new,published,,,,,,,"cor:PRETO/OFF/BEGE/ROSA CHICLETE/VERDE:BEGE,tamanho:G/M/P/PP/GG:GG"
4103-VD-GG_54955,"Blusa Amanda","Cor: VERDE, Tamanho: GG",https://paolagiacomelli.com.br/wp-content/uploads/2021/04/Blusa-Amanda-Bege-2_size.jpg,https://paolagiacomelli.com.br/produto/blusa-amanda/?attribute_pa_cor=verde&attribute_pa_tamanho=gg,"Blusa, Blusa Manga Curta","Paola Giacomelli",111.99BRL,in stock,4103_4042,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/04/Blusa-Amanda-Off-2_size.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/04/Blusa-Amanda-Preta-1_size.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,111.99BRL,new,published,,,,,,,"cor:PRETO/OFF/BEGE/ROSA CHICLETE/VERDE:VERDE,tamanho:G/M/P/PP/GG:GG"
10132-R-PP_52972,"Vestido Antonella New","Cor: ROSA, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Antonela-New-2.jpg,https://paolagiacomelli.com.br/produto/vestido-antonella-new/?attribute_pa_cor=rosa&attribute_pa_tamanho=pp,"Vestido, Vestido Longo","Paola Giacomelli",589.99BRL,in stock,10132_5716,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Antonela-new-1.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Antonela-New-3.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Antonela-New-4.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,353.99BRL,new,published,,,,,,,"cor:AZUL/ROSA:ROSA,tamanho:P/PP/G/M/GG:PP"
10136-AT-PP_52569,"Vestido Clara","Cor: AZUL TURQUESA, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Clara-1.jpg,https://paolagiacomelli.com.br/produto/vestido-clara/?attribute_pa_cor=azul-turquesa&attribute_pa_tamanho=pp,"Vestido Mid","Paola Giacomelli",459.99BRL,in stock,10136_5613,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Clara-2.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Clara-3.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Clara-4.jpg",2022-02-01T00:00+00:00/2022-03-13T23:59+00:00,275.99BRL,new,published,,,,,,,"cor:AZUL TURQUESA/ROSA:AZUL TURQUESA,tamanho:P/M/G/GG/PP:PP"
10125-V-PP_45708,"Calça Casual","Cor: VERDE, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Calca-casual-1.jpg,https://paolagiacomelli.com.br/produto/calca-casual/?attribute_pa_cor=verde&attribute_pa_tamanho=pp,"Calça, Calça Slim","Paola Giacomelli",359.99BRL,in stock,10125_5564,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Calca-casual-2.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Calca-casual-3.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Calca-casual-4.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,215.99BRL,new,published,,,,,,,"cor:LILAS/PRETO/VERDE:VERDE,tamanho:M/P/G/GG/PP:PP"
10125-PR-PP_45707,"Calça Casual","Cor: PRETO, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Calca-casual-1.jpg,https://paolagiacomelli.com.br/produto/calca-casual/?attribute_pa_cor=preto&attribute_pa_tamanho=pp,"Calça, Calça Slim","Paola Giacomelli",359.99BRL,in stock,10125_5564,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Calca-casual-2.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Calca-casual-3.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Calca-casual-4.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,215.99BRL,new,published,,,,,,,"cor:LILAS/PRETO/VERDE:PRETO,tamanho:M/P/G/GG/PP:PP"
10139-R-GG_45683,"Vestido Veronica","Cor: ROSA, Tamanho: GG",https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Veronica-1.jpg,https://paolagiacomelli.com.br/produto/vestido-veronica/?attribute_pa_cor=rosa&attribute_pa_tamanho=gg,"Vestido, Vestido Curto","Paola Giacomelli",349.99BRL,in stock,10139_5448,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Veronica-2.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Veronica-3.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Veronica-4.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,209.99BRL,new,staging,,,,,,,"cor:AZUL/ROSA:ROSA,tamanho:PP/P/M/G/GG:GG"
10139-A-P_45682,"Vestido Veronica","Cor: AZUL, Tamanho: P",https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Veronica-1.jpg,https://paolagiacomelli.com.br/produto/vestido-veronica/?attribute_pa_cor=azul&attribute_pa_tamanho=p,"Vestido, Vestido Curto","Paola Giacomelli",349.99BRL,in stock,10139_5448,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Veronica-2.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Veronica-3.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Veronica-4.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,209.99BRL,new,staging,,,,,,,"cor:AZUL/ROSA:AZUL,tamanho:PP/P/M/G/GG:P"
4122-OF-PP_44517,"Top Lis","Cor: OFF, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopLis_01_1000x1503.jpg,https://paolagiacomelli.com.br/produto/top-lis/?attribute_pa_cor=off&attribute_pa_tamanho=pp,"Top","Paola Giacomelli",189.99BRL,in stock,4122_13167,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopLis_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopLis_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopLis_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-13T23:59+00:00,132.99BRL,new,published,,,,,,,"cor:ROXO/LARANJA/OFF/ROSA:OFF,tamanho:M/GG/G/PP/P:PP"
4120-OF-M_44514,"Top Ana Luisa","Cor: OFF, Tamanho: M",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopAnaLuisa_01_1000x1503.jpg,https://paolagiacomelli.com.br/produto/top-ana-luisa/?attribute_pa_cor=off&attribute_pa_tamanho=m,"Top","Paola Giacomelli",259.99BRL,in stock,4120_13162,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopAnaLuisa_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopAnaLuisa_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopAnaLuisa_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,181.99BRL,new,published,,,,,,,"cor:BEGE/ROSA/OFF:OFF,tamanho:PP/G/GG/P/M:M"
10167-BR-G_44504,"Conjunto Duda","Cor: BRANCO, Tamanho: G",https://paolagiacomelli.com.br/wp-content/uploads/2021/12/WhatsApp-Image-2021-12-03-at-16.03.32.jpeg,https://paolagiacomelli.com.br/produto/conjunto-duda/?attribute_pa_cor=branco&attribute_pa_tamanho=g,"Conjunto","Paola Giacomelli",649.99BRL,in stock,10167_13153,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/12/WhatsApp-Image-2021-12-03-at-16.03.31-1.jpeg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,454.99BRL,new,staging,,,,,,,"cor:ROSA/BRANCO:BRANCO,tamanho:GG/G/PP/P/M:G"
10151-RO-PP_44495,"Calca Ana Luisa","Cor: ROSA, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/CalcaAnaLuisa_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/calca-ana-luisa/?attribute_pa_cor=rosa&attribute_pa_tamanho=pp,"Calca Slim","Paola Giacomelli",459.99BRL,in stock,10151_13197,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/CalcaAnaLuisa_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/CalcaAnaLuisa_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/CalcaAnaLuisa_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/CalcaAnaLuisa_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,367.99BRL,new,published,,,,,,,"cor:ROSA/OFF/BEGE:ROSA,tamanho:GG/P/M/G/PP:PP"
10156-RO-PP_44485,"Vestido Thayssa","Cor: ROSA, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_03_1000x1503.jpg,https://paolagiacomelli.com.br/produto/vestido-thayssa/?attribute_pa_cor=rosa&attribute_pa_tamanho=pp,"Vestido Curto","Paola Giacomelli",479.99BRL,in stock,10156_13182,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,335.99BRL,new,published,,,,,,,"cor:ROSA/VERDE/OFF/LARANJA:ROSA,tamanho:M/G/P/PP/GG:PP"
10156-OF-G_44483,"Vestido Thayssa","Cor: OFF, Tamanho: G",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/vestido-thayssa/?attribute_pa_cor=off&attribute_pa_tamanho=g,"Vestido Curto","Paola Giacomelli",479.99BRL,in stock,10156_13182,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-13T23:59+00:00,335.99BRL,new,published,,,,,,,"cor:ROSA/VERDE/OFF/LARANJA:OFF,tamanho:M/G/P/PP/GG:G"
10156-OF-P_44482,"Vestido Thayssa","Cor: OFF, Tamanho: P",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/vestido-thayssa/?attribute_pa_cor=off&attribute_pa_tamanho=p,"Vestido Curto","Paola Giacomelli",479.99BRL,in stock,10156_13182,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoThayssa_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,335.99BRL,new,published,,,,,,,"cor:ROSA/VERDE/OFF/LARANJA:OFF,tamanho:M/G/P/PP/GG:P"
10173-OF-GG_44473,"Vestido Lola","Cor: OFF, Tamanho: GG",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoLola_01_1000x1503.jpg,https://paolagiacomelli.com.br/produto/vestido-lola/?attribute_pa_cor=off&attribute_pa_tamanho=gg,"Vestido Longo","Paola Giacomelli",889.99BRL,in stock,10173_13179,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoLola_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoLola_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoLola_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,622.99BRL,new,published,,,,,,,"cor:OFF:OFF,tamanho:PP/P/M/G/GG:GG"
10152-BE-GG_44470,"Vestido Lala","Cor: BEGE, Tamanho: GG",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/vestido-lala/?attribute_pa_cor=bege&attribute_pa_tamanho=gg,"Vestido Midi","Paola Giacomelli",589.99BRL,in stock,10152_13178,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoLala_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoLala_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoLala_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,412.99BRL,new,published,,,,,,,"cor:BEGE/AZUL:BEGE,tamanho:GG/G/PP/P/M:GG"
10154-RO-G_44464,"Vestido Isis Curto","Cor: ROSA PINK, Tamanho: G",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoIsisCurto_01_1000x1503.jpg,https://paolagiacomelli.com.br/produto/vestido-isis-curto/?attribute_pa_cor=rosa-pink&attribute_pa_tamanho=g,"Vestido Curto","Paola Giacomelli",459.99BRL,in stock,10154_13176,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoIsisCurto_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoIsisCurto_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/VestidoIsisCurto_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-13T23:59+00:00,300.99BRL,new,published,,,,,,,"cor:BRANCO/LARANJA/ROSA PINK:ROSA PINK,tamanho:P/GG/M/G/PP:G"
