cod_produto,cod_mae,cod_barras,nome_produto,categoria,subcategoria,cores,tamanho,qtde_estoque,preco-errado,preco-certo,tags,descricao_produto,imagem_produto,medidas,busto,cintura
36126,2557019990,2000000000558,SAIA CORDÃO CINTURA NUVEM S-002,SAIAS,,PINK,P,1,25999,259.99,FASHION MODA TREND >> SAIAS >> COURO,2557019990 - SAIA CORDÃO CINTURA NUVEM S-002 - Tam P Cor PINK,    ,P CINTURA 78 CM QUADRIL  99 CM,  ,   
36127,2557019990,2000000000565,SAIA CORDÃO CINTURA NUVEM S-002,SAIAS,,PINK,M,1,25999,259.99,FASHION MODA TREND >> SAIAS >> COURO,2557019990 - SAIA CORDÃO CINTURA NUVEM S-002 - Tam M Cor PINK,    ,M CINTURA  82 CM QUADRIL 103 CM ,  ,   
36128,2557019990,2000000000572,SAIA CORDÃO CINTURA NUVEM S-002,SAIAS,,ROSA CLARO,P,1,25999,259.99,FASHION MODA TREND >> SAIAS >> COURO,2557019990 - SAIA CORDÃO CINTURA NUVEM S-002 - Tam P Cor ROSA CLARO,    ,P CINTURA 78 CM QUADRIL  99 CM,  ,   
36129,2557019990,2000000000589,SAIA CORDÃO CINTURA NUVEM S-002,SAIAS,,VERDE BANDEIRA,P,1,25999,259.99,FASHION MODA TREND >> SAIAS >> COURO,2557019990 - SAIA CORDÃO CINTURA NUVEM S-002 - Tam P Cor VERDE BANDEIRA,    ,P CINTURA 78 CM QUADRIL  99 CM,  ,   
36130,2557019990,2000000000596,SAIA CORDÃO CINTURA NUVEM S-002,SAIAS,,PRETA,M,2,25999,259.99,FASHION MODA TREND >> SAIAS >> COURO,2557019990 - SAIA CORDÃO CINTURA NUVEM S-002 - Tam M Cor PRETA,    ,M CINTURA  82 CM QUADRIL 103 CM ,  ,   
36131,2619013990,2000000000626,CALÇA NEO LISTRAS Z-0123,CALÇAS,,PRETA LISTRA,P,3,27999,279.99,FASHION MODA TREND >> CALÇAS >> POLIÉSTER + ELASTANO,2619013990 - CALÇA NEO LISTRAS Z-0123 - Tam P Cor PRETA LISTRA,    ,P CINT. 74CM QUAD.94CM COXA 44CM COMP. 110CM,  ,   
36132,2619013990,2000000000633,CALÇA NEO LISTRAS Z-0123,CALÇAS,,PRETA LISTRA,M,1,27999,279.99,FASHION MODA TREND >> CALÇAS >> POLIÉSTER + ELASTANO,2619013990 - CALÇA NEO LISTRAS Z-0123 - Tam M Cor PRETA LISTRA,    ,M CINT. 78CM QUAD.98CM COXA 48CM COMP. 111C,  ,   
36133,2619013990,2000000000640,CALÇA NEO LISTRAS Z-0123,CALÇAS,,VERMELHA LISTRA,M,1,27999,279.99,FASHION MODA TREND >> CALÇAS >> POLIÉSTER + ELASTANO,2619013990 - CALÇA NEO LISTRAS Z-0123 - Tam M Cor VERMELHA LISTRA,    ,M CINT. 78CM QUAD.98CM COXA 48CM COMP. 111C,  ,   
36134,2619013990,2000000000657,CALÇA NEO LISTRAS Z-0123,CALÇAS,,VERMELHA LISTRA,P,3,27999,279.99,FASHION MODA TREND >> CALÇAS >> POLIÉSTER + ELASTANO,2619013990 - CALÇA NEO LISTRAS Z-0123 - Tam P Cor VERMELHA LISTRA,    ,P CINT. 74CM QUAD.94CM COXA 44CM COMP. 110CM,  ,   
36135,2612019990,2000000000176,VESTIDO LGO POMPONS X-0252,MACAQUINHO,,SALMAO LISTRA,P,2,23999,239.99,FASHION MODA TREND >> MACAQUINHO >> 100% VISCOSE ,2612019990 - VESTIDO LGO POMPONS X-0252 - Tam P Cor SALMAO LISTRA,    ,P BUSTO 85 CM COMPRIMENTO 65 CM ,  ,   
