# ref_application_id 451257172939091
ID	quantity_to_sell_on_facebook	description	condition	mpn	title	availability	price	link	image_link	brand	shipping_length	shipping_height	shipping_width	item_group_id	google_product_category	product_type	shipping_weight	sale_price	sale_price_effective_date
10133-L-P		"O vestido chemise tem a cara de tendência que a gente ama! Possui manga curta com recortes e leve franzido na saia. Comprimento alongado e fechamento frontal em botões com bolsos e lapela no busto. Versátil para criar looks estilosos o ano todo!
"	new	12619	"Vestido Mirian"	"out of stock"	"489.99 BRL"	https://paolagiacomelli.com.br/produto/vestido-mirian/?attribute_pa_cor=laranja&attribute_pa_tamanho=p	https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-sofia-1.jpg	"Paola Giacomelli"	"32 cm"	"12 cm"	"21 cm"	5614	"Apparel & Accessories > Clothing > Dresses"	"Vestido Longo"	"715 g"	"293.99 BRL"	2022-02-01T03:00-0300/2022-12-12T03:00-0300
10137-AT-PP	1	"Vestido Amanda tem um estilo moderno que você vai amar. Possui decote ombro a ombro com babado e elástico, saia com corte assimétrico na barra e fechamento trazeiro com zíper invisível. De comprimento midi, conta com forro e tem um ótimo caimento em diversos tipos de corpo. Aposte em acessórios simples para o look ficar chic na medida certa!
"	new	12622	"Vestido Amanda"	"in stock"	"489.99 BRL"	https://paolagiacomelli.com.br/produto/vestido-amanda/?attribute_pa_cor=azul-turquesa&attribute_pa_tamanho=pp	https://paolagiacomelli.com.br/wp-content/uploads/2021/09/Vestido-Amanda-3.jpg	"Paola Giacomelli"	"32 cm"	"12 cm"	"21 cm"	5612	"Apparel & Accessories > Clothing > Dresses"	"Vestido Mid"	"611 g"	"293.99 BRL"	2022-02-01T03:00-0300/2022-12-12T03:00-0300
10170-PR-PP	1	"Blusa Amanda possui tecido leve, decote ombro a ombro com elástico aplicado no decote, punhos e barra. Comprimento cropped. Use para criar looks casuais incríveis.
"	new	13200	"Blusa Amanda Essence"	"in stock"	"169.99 BRL"	https://paolagiacomelli.com.br/produto/blusa-amanda-essence/?attribute_pa_cor=preto&attribute_pa_tamanho=pp	https://paolagiacomelli.com.br/wp-content/uploads/2021/11/BlusaAmanda_02_1000x1503.jpg	"Paola Giacomelli"	"32 cm"	"12 cm"	"21 cm"	13146	"Apparel & Accessories > Clothing > Dresses"	"Blusa Manga Curta"	"209 g"	"118.99 BRL"	2022-02-01T03:00-0300/2022-12-12T03:00-0300
10170-PR-P		"Blusa Amanda possui tecido leve, decote ombro a ombro com elástico aplicado no decote, punhos e barra. Comprimento cropped. Use para criar looks casuais incríveis.
"	new	13201	"Blusa Amanda Essence"	"out of stock"	"169.99 BRL"	https://paolagiacomelli.com.br/produto/blusa-amanda-essence/?attribute_pa_cor=preto&attribute_pa_tamanho=p	https://paolagiacomelli.com.br/wp-content/uploads/2021/11/BlusaAmanda_02_1000x1503.jpg	"Paola Giacomelli"	"32 cm"	"12 cm"	"21 cm"	13146	"Apparel & Accessories > Clothing > Dresses"	"Blusa Manga Curta"	"209 g"	"118.99 BRL"	2022-02-01T03:00-0300/2022-12-12T03:00-0300
10170-PR-M		"Blusa Amanda possui tecido leve, decote ombro a ombro com elástico aplicado no decote, punhos e barra. Comprimento cropped. Use para criar looks casuais incríveis.
"	new	13202	"Blusa Amanda Essence"	"out of stock"	"169.99 BRL"	https://paolagiacomelli.com.br/produto/blusa-amanda-essence/?attribute_pa_cor=preto&attribute_pa_tamanho=m	https://paolagiacomelli.com.br/wp-content/uploads/2021/11/BlusaAmanda_02_1000x1503.jpg	"Paola Giacomelli"	"32 cm"	"12 cm"	"21 cm"	13146	"Apparel & Accessories > Clothing > Dresses"	"Blusa Manga Curta"	"209 g"	"118.99 BRL"	2022-02-01T03:00-0300/2022-12-12T03:00-0300
10170-PR-G		"Blusa Amanda possui tecido leve, decote ombro a ombro com elástico aplicado no decote, punhos e barra. Comprimento cropped. Use para criar looks casuais incríveis.
"	new	13203	"Blusa Amanda Essence"	"out of stock"	"169.99 BRL"	https://paolagiacomelli.com.br/produto/blusa-amanda-essence/?attribute_pa_cor=preto&attribute_pa_tamanho=g	https://paolagiacomelli.com.br/wp-content/uploads/2021/11/BlusaAmanda_02_1000x1503.jpg	"Paola Giacomelli"	"32 cm"	"12 cm"	"21 cm"	13146	"Apparel & Accessories > Clothing > Dresses"	"Blusa Manga Curta"	"209 g"	"118.99 BRL"	2022-02-01T03:00-0300/2022-12-12T03:00-0300
10170-PR-GG	1	"Blusa Amanda possui tecido leve, decote ombro a ombro com elástico aplicado no decote, punhos e barra. Comprimento cropped. Use para criar looks casuais incríveis.
"	new	13204	"Blusa Amanda Essence"	"in stock"	"169.99 BRL"	https://paolagiacomelli.com.br/produto/blusa-amanda-essence/?attribute_pa_cor=preto&attribute_pa_tamanho=gg	https://paolagiacomelli.com.br/wp-content/uploads/2021/11/BlusaAmanda_02_1000x1503.jpg	"Paola Giacomelli"	"32 cm"	"12 cm"	"21 cm"	13146	"Apparel & Accessories > Clothing > Dresses"	"Blusa Manga Curta"	"209 g"	"118.99 BRL"	2022-02-01T03:00-0300/2022-12-12T03:00-0300
10170-RO-PP	1	"Blusa Amanda possui tecido leve, decote ombro a ombro com elástico aplicado no decote, punhos e barra. Comprimento cropped. Use para criar looks casuais incríveis.
"	new	13205	"Blusa Amanda Essence"	"in stock"	"169.99 BRL"	https://paolagiacomelli.com.br/produto/blusa-amanda-essence/?attribute_pa_cor=rosa-pink&attribute_pa_tamanho=pp	https://paolagiacomelli.com.br/wp-content/uploads/2021/11/BlusaAmanda_04_1000x1503.jpg	"Paola Giacomelli"	"32 cm"	"12 cm"	"21 cm"	13146	"Apparel & Accessories > Clothing > Dresses"	"Blusa Manga Curta"	"209 g"	"118.99 BRL"	2022-02-01T03:00-0300/2022-12-12T03:00-0300
10170-RO-P	1	"Blusa Amanda possui tecido leve, decote ombro a ombro com elástico aplicado no decote, punhos e barra. Comprimento cropped. Use para criar looks casuais incríveis.
"	new	13206	"Blusa Amanda Essence"	"in stock"	"169.99 BRL"	https://paolagiacomelli.com.br/produto/blusa-amanda-essence/?attribute_pa_cor=rosa-pink&attribute_pa_tamanho=p	https://paolagiacomelli.com.br/wp-content/uploads/2021/11/BlusaAmanda_04_1000x1503.jpg	"Paola Giacomelli"	"32 cm"	"12 cm"	"21 cm"	13146	"Apparel & Accessories > Clothing > Dresses"	"Blusa Manga Curta"	"209 g"	"118.99 BRL"	2022-02-01T03:00-0300/2022-12-12T03:00-0300
10170-RO-M		"Blusa Amanda possui tecido leve, decote ombro a ombro com elástico aplicado no decote, punhos e barra. Comprimento cropped. Use para criar looks casuais incríveis.
"	new	13207	"Blusa Amanda Essence"	"out of stock"	"169.99 BRL"	https://paolagiacomelli.com.br/produto/blusa-amanda-essence/?attribute_pa_cor=rosa-pink&attribute_pa_tamanho=m	https://paolagiacomelli.com.br/wp-content/uploads/2021/11/BlusaAmanda_04_1000x1503.jpg	"Paola Giacomelli"	"32 cm"	"12 cm"	"21 cm"	13146	"Apparel & Accessories > Clothing > Dresses"	"Blusa Manga Curta"	"209 g"	"118.99 BRL"	2022-02-01T03:00-0300/2022-12-12T03:00-0300
